Condecine - Valores Arrecadados - Em Reais (R$) 2007 a 2025;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Valor Total Arrecadado (R$);;;;;;;;;;;;;;;;;;;;
;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;;
Condecine-Remessa;1.493.494;2.590.990;6.558.173;6.558.173; 1.539.104 ; 6.247.615 ; 13.687.156 ; 9.233.345 ; 9.658.239 ; 20.327.679 ; 16.326.527 ; 19.987.609 ; 27.618.668 ; 7.681.226 ; 16.358.177 ;-8.876.282 ; 4.432.428 ; 43.696.277 ; 24.174.158,92 ;;
Condecine-Títulos;47.759.381;54.261.437;38.927.393;38.927.393; 53.084.459 ; 80.720.720 ; 105.196.187 ; 93.577.791 ; 102.177.996 ; 107.010.973 ; 93.782.081 ; 92.330.665 ; 88.835.654 ; 89.722.938 ; 99.455.675 ; 92.628.689 ; 91.109.461 ; 90.683.689 ; 84.073.922,68 ;;
Condecine-Teles;;;;; -   ; 819.589.680 ; 889.452.316 ; 877.845.154 ; 949.951.062 ; 1.097.386.783 ; 1.022.786.942 ; 970.748.658 ; 943.877.060 ; 787.075.994 ; 857.612.877 ; 1.059.886.431 ; 1.071.934.229 ; 1.073.681.287 ; 1.060.253.129,42 ;;
Dívida Ativa;;;;;-; 53.174 ; 140.873 ; 134.185 ; 112.615 ; 345.686 ; 458.698 ; 1.068.463 ; 1.003.945 ; 670.986 ; 847.536 ; 1.182.029 ; 1.837.034 ; 1.728.862 ; 1.304.278,59 ;;
Total;49.252.874,62;56.852.426,85;45.485.566,04;45.485.566,07;54.623.562,82;906.611.188,97;1.008.476.532,85;980.790.474,86;1.061.899.911,44;1.225.071.120,93;1.133.354.247,04;1.084.135.395,30;1.061.335.327,31;885.151.143,41;974.274.263,85;1.144.820.866,73;1.169.313.151,31;1.209.790.115,62;1.169.805.489,61;;
;;;;;;;;;;;;;;;;;;;;;
;Valor após abatimento da DRU;;;;;;;;;;;;;;;;;;;;
;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;;
Condecine-Remessa;1.194.795;2.072.792;5.246.539;1.462.517;1.231.283; 4.998.092 ; 10.949.725 ; 7.386.676 ; 7.726.591 ; 14.229.376 ; 11.428.569 ; 13.991.327 ; 19.333.068 ; 5.376.858 ; 11.452.251 ;-6.214.151 ; 3.103.868 ; 30.591.112 ; 16.943.625,84 ;;
Condecine-Títulos;38.207.505;43.409.149;31.141.914;38.192.286;42.467.567; 64.576.576 ; 84.156.950 ; 74.862.233 ; 81.742.397 ; 74.907.681 ; 65.647.456 ; 64.631.466 ; 62.184.958 ; 62.806.056 ; 69.619.331 ; 64.840.085 ; 63.776.626 ; 63.478.586 ; 58.852.097,92 ;;
Condecine-Teles;;;;;; 655.671.744 ; 711.561.853 ; 702.276.123 ; 759.960.849 ; 768.170.748 ; 715.950.859 ; 679.524.060 ; 660.713.942 ; 550.953.196 ; 600.329.016 ; 741.920.504 ; 750.353.962 ; 751.576.902 ; 742.177.451,33 ;;
Dívida Ativa;;;;;; 42.539 ; 112.699 ; 107.348 ; 90.099 ; 241.980 ; 321.089 ; 747.926 ; 702.761 ; 469.690 ; 593.277 ; 827.422 ; 1.285.926 ; 1.210.205 ; 912.997,04 ;;
Total;39.402.300;45.481.941;36.388.453;39.654.803;43.698.850;725.288.951;806.781.226;784.632.380;849.519.937;857.549.785;793.347.974;758.894.778;742.934.729;619.605.800;681.993.874;801.373.861;818.520.381;846.856.805;818.886.172;;
;;;;;;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades: Condecine-Remessa (Parágrafo 2º do Art. 33), Condecine-Títulos (incisos I e II do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;;;;;;;;;
"2. O “Valor Total Arrecadado” foi estimado com base na DRU: até 2015, o valor destinado ao FSA foi dividido por oito e multiplicado por dez; a partir de 2017, por sete e multiplicado por dez. Desde 2021, utilizam-se valores exatos extraídos do Tesouro Gerencial. Condecine. No caso da Dívida da Dívida Ativa, o “Valor Total Arrecadado”  não considera outras destinações como de “honorários advocatícios”.";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Fontes: Sistema Integrado de Administração Financeira do Governo Federal (SIAFI)  e Tesouro Gerencial (TG).;;;;;;;;;;;;;;;;;;;;;
Datas da apuração:;2010 - SIAFI, dados extraídos em 24/05/2013.;;;;;;;;;;;;;;;;;; ;;
;2011 e 2012 - TG, dados extraídos em 13/05/2019. Condecine-Remessa: SIAFI, dados extraídos em 24/05/2013.;;;;;;;;;;;;;;;;;;;;
;"2013 - TG, dados extraídos em 13/05/2019; Condecine-Remessa: SIAFI, dados extraídos em 24/05/2014.";;;;;;;;;;;;;;;;;;;;
;"2014 - TG, dados extraídos em 13/05/2019; Condecine-Remessa: SIAFI, dados extraídos em 28/04/2015.";;;;;;;;;;;;;;;;;;;;
;2015 a 2018 - TG, dados extraídos em 13/05/2019.;;;;;;;;;;;;;;;;;;;;
;2019 - SIAFI e TG, dados extraídos em 28/01/2020.;;;;;;;;;;;;;;;;;;;;
;2020 - SIAFI e TG, dados extraídos em 23/02/2021.;;;;;;;;;;;;;;;;;;;;
;2021 - SIAFI e TG, dados extraídos em 09/02/2022.;;;;;;;;;;;;;;;;;;;;
;2022 - SIAFI e TG, dados extraídos em 25/05/2023.;;;;;;;;;;;;;;;;;;;;
;2023 - SIAFI e TG, dados extraídos em 10/01/2024.;;;;;;;;;;;;;;;;;;;;
;2024 - SIAFI e TG, dados extraídos em 16/01/2025.;;;;;;;;;;;;;;;;;;;;
;2024 - SIAFI e TG, dados extraídos em 16/02/2026.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Informações fornecidas pela Gerência de Finanças e Orçamento - GFO/SGI.  Publicado em 08/04/2026.;;;;;;;;;;;;;;;;;;;;;
