"ano";"pmi_nominal";"fator_real_2024";"pmi_real_2024";"fonte";"observacao"
"2014";"12,57";"1,749188";"21,9873";"ANCINE 2014";"anuario 2014"
"2015";"13,59";"1,580544";"21,4796";"ANCINE 2024";"serie 2015-2024"
"2016";"14,1";"1,487011";"20,9669";"ANCINE 2024";"serie 2015-2024"
"2017";"15";"1,444401";"21,666";"ANCINE 2024";"serie 2015-2024"
"2018";"15,04";"1,392194";"20,9386";"ANCINE 2024";"serie 2015-2024"
"2019";"15,81";"1,33467";"21,1011";"ANCINE 2024";"serie 2015-2024"
"2020";"15,94";"1,276952";"20,3546";"ANCINE 2024";"serie 2015-2024"
"2021";"17,48";"1,160232";"20,2809";"ANCINE 2024";"serie 2015-2024"
"2022";"19,1";"1,096731";"20,9476";"ANCINE 2024";"serie 2015-2024"
"2023";"19,61";"1,0483";"20,5572";"ANCINE 2024";"serie 2015-2024"
"2024";"19,88";"1";"19,88";"ANCINE 2024";"serie 2015-2024"
"2025";"19,88";"1";"19,88";"fallback";"usa PMI 2024"
"2026";"19,88";"1";"19,88";"fallback";"usa PMI 2024"
