ano,cnae_raw,cnae_classe,cnae_subclasse,classe,subclasse,empregos_formais_ativos_31_12,camada_metodologica,fonte_primaria,fonte_url,metodo_reprocessamento
2019,5911101,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,706,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,5911102,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2214,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,5911199,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",6937,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,5912001,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,142,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,5912002,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,177,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,5912099,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",843,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,5913800,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",1355,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,5914600,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,15153,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,6021700,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,49052,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,6022501,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,1095,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,6022502,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",548,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,6141800,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,3496,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,6142600,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,20,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,6143400,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,372,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,7722500,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",2198,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
2019,4762800,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",1922,reprocessado_fonte_primaria,MTE/PDET microdados RAIS vinculos publicos,ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/2019/,vinculo_ativo_31_12_por_subclasse_cnae_ancine
